Phenotype Term Name	Phenotype Term ID	Disease Name	Disease ID	Chemical Inference Network	Gene Inference Network	References
intestinal epithelial cell development	GO:0060576	COVID-19	MESH:D000086382	Choline		2
negative regulation of cortisol biosynthetic process	GO:2000065	COVID-19	MESH:D000086382	Sirolimus		2
response to angiotensin	GO:1990776	COVID-19	MESH:D000086382	Losartan		2
positive regulation of male gonad development	GO:2000020	COVID-19	MESH:D000086382	Zinc		3
mitochondrial respiratory chain complex I	GO:0005747	COVID-19	MESH:D000086382	Sirolimus		2
mitochondrial respiratory chain complex III	GO:0005750	COVID-19	MESH:D000086382	Sirolimus		2
mitochondrial proton-transporting ATP synthase complex	GO:0005753	COVID-19	MESH:D000086382	Sirolimus		2
cell dedifferentiation	GO:0043697	COVID-19	MESH:D000086382	Nifedipine		2
negative regulation of glomerular filtration	GO:0003105	COVID-19	MESH:D000086382	Zinc		3
positive regulation of organelle assembly	GO:1902117	COVID-19	MESH:D000086382	Chloroquine		6
negative regulation of sequestering of calcium ion	GO:0051283	COVID-19	MESH:D000086382	Hydroxychloroquine		6
polyol biosynthetic process	GO:0046173	COVID-19	MESH:D000086382	Losartan		2
negative regulation of MyD88-dependent toll-like receptor signaling pathway	GO:0034125	COVID-19	MESH:D000086382	chloroquine diphosphate		6
glucuronosyltransferase activity	GO:0015020	COVID-19	MESH:D000086382	betulinic acid		2
heterotypic cell-cell adhesion	GO:0034113	COVID-19	MESH:D000086382	Chloroquine		6
erythrocyte homeostasis	GO:0034101	COVID-19	MESH:D000086382	Zinc		3
meiotic metaphase plate congression	GO:0051311	COVID-19	MESH:D000086382	Melatonin		3
oxidative stress-induced premature senescence	GO:0090403	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of flagellated sperm motility	GO:1902093	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of hypoxia-inducible factor-1alpha signaling pathway	GO:1902073	COVID-19	MESH:D000086382	Losartan		2
regulation of SMAD protein signal transduction	GO:0060390	COVID-19	MESH:D000086382	Zinc		3
cardiovascular system development	GO:0072358	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of type I interferon-mediated signaling pathway	GO:0060340	COVID-19	MESH:D000086382	Interferon-alpha		3
stress granule assembly	GO:0034063	COVID-19	MESH:D000086382	Dactinomycin		2
positive regulation of transferase activity	GO:0051347	COVID-19	MESH:D000086382	Tenofovir		2
negative regulation of transferase activity	GO:0051348	COVID-19	MESH:D000086382	Tenofovir		2
cardiac epithelial to mesenchymal transition	GO:0060317	COVID-19	MESH:D000086382	Zinc		3
vacuolar acidification	GO:0007035	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of oxidoreductase activity	GO:0051353	COVID-19	MESH:D000086382	Tenofovir		2
replication-born double-strand break repair via sister chromatid exchange	GO:1990414	COVID-19	MESH:D000086382	Dactinomycin		2
glycogen catabolic process	GO:0005980	COVID-19	MESH:D000086382	Nifedipine		2
NK T cell proliferation	GO:0001866	COVID-19	MESH:D000086382	perfluorobutyric acid		2
epithelial to mesenchymal transition	GO:0001837	COVID-19	MESH:D000086382	Losartan		2
blastocyst formation	GO:0001825	COVID-19	MESH:D000086382	Melatonin		4
prepulse inhibition	GO:0060134	COVID-19	MESH:D000086382	Sirolimus		2
autophagosome organization	GO:1905037	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of membrane permeability	GO:1905710	COVID-19	MESH:D000086382	Hydroxychloroquine		6
positive regulation of drug transmembrane export	GO:1905701	COVID-19	MESH:D000086382	Melatonin		3
B cell homeostasis	GO:0001782	COVID-19	MESH:D000086382	perfluorobutyric acid		2
neutrophil homeostasis	GO:0001780	COVID-19	MESH:D000086382	perfluorobutyric acid		2
stem cell proliferation	GO:0072089	COVID-19	MESH:D000086382	Dactinomycin		2
micturition	GO:0060073	COVID-19	MESH:D000086382	Chloroquine		6
cardiac muscle contraction	GO:0060048	COVID-19	MESH:D000086382	Nifedipine		5
heart contraction	GO:0060047	COVID-19	MESH:D000086382	Nifedipine		2
retina morphogenesis in camera-type eye	GO:0060042	COVID-19	MESH:D000086382	nafamostat		2
regulation of maintenance of permeability of blood-brain barrier	GO:1905603	COVID-19	MESH:D000086382	Losartan		2
synaptic transmission, GABAergic	GO:0051932	COVID-19	MESH:D000086382	Sirolimus		2
negative regulation of calcium ion transport	GO:0051926	COVID-19	MESH:D000086382	Nifedipine		2
complement activation	GO:0006956	COVID-19	MESH:D000086382	Heparin, Low-Molecular-Weight		2
intracellular pH reduction	GO:0051452	COVID-19	MESH:D000086382	chloroquine diphosphate		6
response to environmental enrichment	GO:0090648	COVID-19	MESH:D000086382	Melatonin		3
spindle assembly	GO:0051225	COVID-19	MESH:D000086382	Melatonin		3
response to stress	GO:0006950	COVID-19	MESH:D000086382	Zinc		3
trehalose-phosphatase activity	GO:0004805	COVID-19	MESH:D000086382	Ivermectin		3
smooth muscle contraction	GO:0006939	COVID-19	MESH:D000086382	Nifedipine		2
clathrin coat assembly involved in endocytosis	GO:0099049	COVID-19	MESH:D000086382	baricitinib		2
lymphocyte homeostasis	GO:0002260	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
intracellular pH elevation	GO:0051454	COVID-19	MESH:D000086382	Chloroquine		6
plasmacytoid dendritic cell activation	GO:0002270	COVID-19	MESH:D000086382	chloroquine diphosphate		6
TORC1 signaling	GO:0038202	COVID-19	MESH:D000086382	Sirolimus		2
phagocytosis, engulfment	GO:0006911	COVID-19	MESH:D000086382	Sirolimus		2
receptor-mediated endocytosis	GO:0006898	COVID-19	MESH:D000086382	Chloroquine		6
regulation of cytosolic calcium ion concentration	GO:0051480	COVID-19	MESH:D000086382	Nifedipine		3
endosome lysis involved in viral entry into host cell	GO:0075514	COVID-19	MESH:D000086382	Chloroquine		6
sensitization	GO:0046960	COVID-19	MESH:D000086382	Nifedipine		2
immunoglobulin secretion involved in immune response	GO:0002380	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
immunoglobulin production involved in immunoglobulin mediated immune response	GO:0002381	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
positive regulation of mitochondrial calcium ion concentration	GO:0051561	COVID-19	MESH:D000086382	Ivermectin		3
negative regulation of animal organ morphogenesis	GO:0110111	COVID-19	MESH:D000086382	Tenofovir		2
histone H3-K9 trimethylation	GO:0036124	COVID-19	MESH:D000086382	Zinc		3
activation of MAPK activity	GO:0000187	COVID-19	MESH:D000086382	Lopinavir		5
drug transmembrane transport	GO:0006855	COVID-19	MESH:D000086382	Chloroquine		6
succinate dehydrogenase activity	GO:0000104	COVID-19	MESH:D000086382	Zinc		3
zinc ion transport	GO:0006829	COVID-19	MESH:D000086382	Zinc		4
hypersensitivity	GO:0002524	COVID-19	MESH:D000086382	Melatonin		3
ion transport	GO:0006811	COVID-19	MESH:D000086382	Nifedipine		4
xenobiotic metabolic process	GO:0006805	COVID-19	MESH:D000086382	Nifedipine		2
porphyrin-containing compound biosynthetic process	GO:0006779	COVID-19	MESH:D000086382	Dactinomycin		2
negative regulation of cardiac muscle cell differentiation	GO:2000726	COVID-19	MESH:D000086382	Ribavirin		7
establishment of organelle localization	GO:0051656	COVID-19	MESH:D000086382	Melatonin		3
bile acid biosynthetic process	GO:0006699	COVID-19	MESH:D000086382	Melatonin		3
mitochondrial genome maintenance	GO:0000002	COVID-19	MESH:D000086382	Choline		2
aconitate hydratase activity	GO:0003994	COVID-19	MESH:D000086382	Zinc		3
prostanoid metabolic process	GO:0006692	COVID-19	MESH:D000086382	Choline		2
protein localization to lipid droplet	GO:1990044	COVID-19	MESH:D000086382	Melatonin		3
formate metabolic process	GO:0015942	COVID-19	MESH:D000086382	Hydroxychloroquine		6
L-iditol 2-dehydrogenase activity	GO:0003939	COVID-19	MESH:D000086382	Tenofovir		2
IMP dehydrogenase activity	GO:0003938	COVID-19	MESH:D000086382	Ribavirin		7
choline transport	GO:0015871	COVID-19	MESH:D000086382	Choline		2
negative regulation of cell growth involved in cardiac muscle cell development	GO:0061052	COVID-19	MESH:D000086382	Ivermectin		3
action potential	GO:0001508	COVID-19	MESH:D000086382	Nifedipine		2
regulation of T-helper 1 cell cytokine production	GO:2000554	COVID-19	MESH:D000086382	Ribavirin		7
regulation of T-helper 2 cell cytokine production	GO:2000551	COVID-19	MESH:D000086382	Ribavirin		7
bilirubin transport	GO:0015723	COVID-19	MESH:D000086382	Zinc		3
positive regulation of T cell cytokine production	GO:0002726	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
oocyte maturation	GO:0001556	COVID-19	MESH:D000086382	Melatonin		3
bile acid and bile salt transport	GO:0015721	COVID-19	MESH:D000086382	Emodin		2
positive regulation of cAMP-dependent protein kinase activity	GO:2000481	COVID-19	MESH:D000086382	Ivermectin		3
phospholipase C-activating angiotensin-activated signaling pathway	GO:0086097	COVID-19	MESH:D000086382	Losartan		2
positive regulation of T cell extravasation	GO:2000409	COVID-19	MESH:D000086382	Chloroquine		6
cysteine-type endopeptidase activity involved in apoptotic process	GO:0097153	COVID-19	MESH:D000086382	Chloroquine		7
positive regulation of adaptive immune response	GO:0002821	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
membrane repolarization	GO:0086009	COVID-19	MESH:D000086382	Hydroxychloroquine		6
Gi/o-coupled serotonin receptor activity	GO:0001586	COVID-19	MESH:D000086382	Sirolimus		2
RNA-templated viral transcription	GO:0039696	COVID-19	MESH:D000086382	Chloroquine		6
regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	GO:0014809	COVID-19	MESH:D000086382	Nifedipine		2
circadian regulation of gene expression	GO:0032922	COVID-19	MESH:D000086382	Melatonin		4
histone arginine methylation	GO:0034969	COVID-19	MESH:D000086382	Ribavirin		7
neuron projection extension	GO:1990138	COVID-19	MESH:D000086382	Sirolimus		2
phosphatidylcholine biosynthetic process	GO:0006656	COVID-19	MESH:D000086382	Sirolimus		2
lead ion transport	GO:0015692	COVID-19	MESH:D000086382	Zinc		3
vascular smooth muscle contraction	GO:0014829	COVID-19	MESH:D000086382	Dactinomycin		2
positive regulation of neutrophil extravasation	GO:2000391	COVID-19	MESH:D000086382	Emodin		2
positive regulation of inflammatory response to antigenic stimulus	GO:0002863	COVID-19	MESH:D000086382	Ivermectin		3
extracellular matrix assembly	GO:0085029	COVID-19	MESH:D000086382	Losartan		2
protein kinase C activity	GO:0004697	COVID-19	MESH:D000086382	Choline		2
AMP-activated protein kinase activity	GO:0004679	COVID-19	MESH:D000086382	Emodin		2
regulation of lysosomal membrane permeability	GO:0097213	COVID-19	MESH:D000086382	Chloroquine		6
phospholipid metabolic process	GO:0006644	COVID-19	MESH:D000086382	betulinic acid		2
unsaturated fatty acid biosynthetic process	GO:0006636	COVID-19	MESH:D000086382	Zinc		3
fatty acid biosynthetic process	GO:0006633	COVID-19	MESH:D000086382	Zinc		3
sucrose alpha-glucosidase activity	GO:0004575	COVID-19	MESH:D000086382	Choline		2
beta-galactosidase activity	GO:0004565	COVID-19	MESH:D000086382	Losartan		2
regulation of humoral immune response mediated by circulating immunoglobulin	GO:0002923	COVID-19	MESH:D000086382	Ribavirin		7
NLS-bearing protein import into nucleus	GO:0006607	COVID-19	MESH:D000086382	Ivermectin		4
histamine secretion mediated by immunoglobulin	GO:0097280	COVID-19	MESH:D000086382	Nifedipine		2
creatine biosynthetic process	GO:0006601	COVID-19	MESH:D000086382	Sirolimus		2
negative regulation of cardioblast differentiation	GO:0051892	COVID-19	MESH:D000086382	Ribavirin		7
behavioral response to chemical pain	GO:0061366	COVID-19	MESH:D000086382	Zinc		3
testosterone biosynthetic process	GO:0061370	COVID-19	MESH:D000086382	Ivermectin		3
nitric-oxide synthase activity	GO:0004517	COVID-19	MESH:D000086382	Chloroquine		6
epithelial structure maintenance	GO:0010669	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of osteoclast development	GO:2001206	COVID-19	MESH:D000086382	betulinic acid		2
autophagosome maturation	GO:0097352	COVID-19	MESH:D000086382	Chloroquine		6
S-adenosylmethionine biosynthetic process	GO:0006556	COVID-19	MESH:D000086382	Choline		2
mitotic cell cycle process	GO:1903047	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of natural killer cell activation	GO:0032816	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
circadian sleep/wake cycle, wakefulness	GO:0042746	COVID-19	MESH:D000086382	Melatonin		3
hydrogen peroxide metabolic process	GO:0042743	COVID-19	MESH:D000086382	Losartan		2
aspartate metabolic process	GO:0006531	COVID-19	MESH:D000086382	Hydroxychloroquine		6
regulation of embryonic cell shape	GO:0016476	COVID-19	MESH:D000086382	Ivermectin		3
hatching	GO:0035188	COVID-19	MESH:D000086382	Sirolimus		2
drug catabolic process	GO:0042737	COVID-19	MESH:D000086382	Losartan		2
malic enzyme activity	GO:0004470	COVID-19	MESH:D000086382	Zinc		3
doxorubicin transport	GO:1900753	COVID-19	MESH:D000086382	Chloroquine		6
isocitrate dehydrogenase (NADP+) activity	GO:0004450	COVID-19	MESH:D000086382	Zinc		3
synaptic transmission, glutamatergic	GO:0035249	COVID-19	MESH:D000086382	Sirolimus		2
microglial cell proliferation	GO:0061518	COVID-19	MESH:D000086382	Melatonin		3
organ growth	GO:0035265	COVID-19	MESH:D000086382	Choline		2
mannosylation	GO:0097502	COVID-19	MESH:D000086382	Zinc		3
isocitrate dehydrogenase (NAD+) activity	GO:0004449	COVID-19	MESH:D000086382	Zinc		3
regulation of dendritic cell differentiation	GO:2001198	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
regulation of interleukin-12 secretion	GO:2001182	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
cellular protein-containing complex localization	GO:0034629	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of CREB transcription factor activity	GO:0032793	COVID-19	MESH:D000086382	Ivermectin		3
regulation of cell size	GO:0008361	COVID-19	MESH:D000086382	Sirolimus		4
RNA biosynthetic process	GO:0032774	COVID-19	MESH:D000086382	camostat		3
phosphate ion transmembrane transport	GO:0035435	COVID-19	MESH:D000086382	Choline		2
oligosaccharide-lipid intermediate biosynthetic process	GO:0006490	COVID-19	MESH:D000086382	Zinc		3
negative regulation of organ growth	GO:0046621	COVID-19	MESH:D000086382	Tenofovir		2
glutamate dehydrogenase (NAD+) activity	GO:0004352	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of alkaline phosphatase activity	GO:0010694	COVID-19	MESH:D000086382	Sirolimus		2
sperm flagellum movement	GO:0097724	COVID-19	MESH:D000086382	Melatonin		3
gamma-delta T cell proliferation	GO:0046630	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
iron cation export	GO:1903414	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of interferon-alpha production	GO:0032727	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of cellular response to drug	GO:2001040	COVID-19	MESH:D000086382	selamectin		2
positive regulation of response to drug	GO:2001025	COVID-19	MESH:D000086382	Tenofovir		2
positive regulation of response to DNA damage stimulus	GO:2001022	COVID-19	MESH:D000086382	Ribavirin		7
proton transmembrane transport	GO:1902600	COVID-19	MESH:D000086382	Zinc		3
lamellar body	GO:0042599	COVID-19	MESH:D000086382	Chloroquine		6
primary metabolic process	GO:0044238	COVID-19	MESH:D000086382	Choline		2
calcium-mediated signaling using intracellular calcium source	GO:0035584	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of ion transmembrane transport	GO:0034767	COVID-19	MESH:D000086382	Choline		2
negative regulation of blood circulation	GO:1903523	COVID-19	MESH:D000086382	Melatonin		3
histone H4-K20 trimethylation	GO:0034773	COVID-19	MESH:D000086382	Zinc		3
hemoglobin biosynthetic process	GO:0042541	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of tumor necrosis factor biosynthetic process	GO:0042535	COVID-19	MESH:D000086382	Zinc		3
intracellular estrogen receptor signaling pathway	GO:0030520	COVID-19	MESH:D000086382	perfluorobutyric acid		2
response to drug	GO:0042493	COVID-19	MESH:D000086382	Ivermectin		3
negative regulation of interleukin-10 production	GO:0032693	COVID-19	MESH:D000086382	Losartan		2
intrahepatic bile duct development	GO:0035622	COVID-19	MESH:D000086382	Zinc		3
kinesis	GO:0042465	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of interferon-gamma secretion	GO:1902715	COVID-19	MESH:D000086382	Ribavirin		7
exploration behavior	GO:0035640	COVID-19	MESH:D000086382	Zinc		3
Toll-like receptor 4 binding	GO:0035662	COVID-19	MESH:D000086382	Chloroquine		6
cysteine-type endopeptidase activity	GO:0004197	COVID-19	MESH:D000086382	betulinic acid		2
negative regulation of interferon-alpha secretion	GO:1902740	COVID-19	MESH:D000086382	chloroquine diphosphate		6
positive regulation of interferon-alpha secretion	GO:1902741	COVID-19	MESH:D000086382	chloroquine diphosphate		6
heterochromatin island assembly	GO:1902794	COVID-19	MESH:D000086382	Sirolimus		2
aminopeptidase activity	GO:0004177	COVID-19	MESH:D000086382	Zinc		3
dopamine biosynthetic process	GO:0042416	COVID-19	MESH:D000086382	Melatonin		3
cytochrome-c oxidase activity	GO:0004129	COVID-19	MESH:D000086382	Zinc		3
cytolysis by virus of host cell	GO:0044659	COVID-19	MESH:D000086382	(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide		1
autophagosome membrane disassembly	GO:0030399	COVID-19	MESH:D000086382	Chloroquine		7
retina layer formation	GO:0010842	COVID-19	MESH:D000086382	nafamostat		2
UV-damage excision repair	GO:0070914	COVID-19	MESH:D000086382	Zinc		3
positive regulation of triglyceride biosynthetic process	GO:0010867	COVID-19	MESH:D000086382	Sirolimus		2
carnitine metabolic process	GO:0009437	COVID-19	MESH:D000086382	Choline		2
negative regulation of cholesterol storage	GO:0010887	COVID-19	MESH:D000086382	Sirolimus		2
palmitic acid biosynthetic process	GO:1900535	COVID-19	MESH:D000086382	Zinc		3
negative regulation of calcineurin-NFAT signaling cascade	GO:0070885	COVID-19	MESH:D000086382	Melatonin		3
protein transport into membrane raft	GO:0032596	COVID-19	MESH:D000086382	Melatonin		3
dendritic cell proliferation	GO:0044565	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		2
lysosomal lumen pH elevation	GO:0035752	COVID-19	MESH:D000086382	Chloroquine		7
protein binding	GO:0005515	COVID-19	MESH:D000086382		ACE2|AGT|ATP11A|BCL11A|BSG|BTK|CCL2|CCL3|CCR2|CD209|CRP|CXCL10|CXCL8|F8|FUT2|HCK|ICAM5|IFNAR2|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|LZTFL1|MUC1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG	31
membrane	GO:0016020	COVID-19	MESH:D000086382		ABO|ACE2|ATP11A|BSG|BTK|CCR2|CD209|FUT2|HCK|ICAM5|IFNAR2|IL10RB|IL2RA|MUC1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG	27
extracellular region	GO:0005576	COVID-19	MESH:D000086382		ABO|ACE2|AGT|CCL2|CCL3|CD209|CRP|CSF3|CXCL10|CXCL8|F8|IFNAR2|IL10|IL1B|IL2|IL6|IL7|TMPRSS2|TMPRSS4|TNF	25
integral component of membrane	GO:0016021	COVID-19	MESH:D000086382		ABO|ACE2|ATP11A|BSG|CCR2|CD209|CRP|FUT2|ICAM5|IFNAR2|IL10RB|IL2RA|MUC1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|UGCG	26
plasma membrane	GO:0005886	COVID-19	MESH:D000086382		ACE2|ATP11A|BSG|BTK|CCR2|CD209|F8|HCK|ICAM5|IFNAR2|IL10RB|IL2RA|MUC1|PLSCR1|SELE|TMPRSS2|TMPRSS4|TNF|TYK2	24
extracellular space	GO:0005615	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CCL3|CRP|CSF3|CXCL10|F8|IFNAR2|IL10|IL1B|IL2|IL6|IL7|SELE|TMPRSS4|TNF	23
cytoplasm	GO:0005737	COVID-19	MESH:D000086382		ACE2|AGT|BCL11A|BTK|CCL2|CCL3|CCR2|CD209|HCK|IL1B|IL6|LZTFL1|MUC1|PLSCR1|TNF|TYK2	27
positive regulation of gene expression	GO:0010628	COVID-19	MESH:D000086382		AGT|BCL11A|CCL2|CCL3|CRP|CXCL8|IL1B|IL6|IL7|PLSCR1|TNF	7
signal transduction	GO:0007165	COVID-19	MESH:D000086382		CCL2|CCR2|CSF3|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL2|TNF	5
cytosol	GO:0005829	COVID-19	MESH:D000086382		AGT|BCL11A|BTK|CCL3|CCR2|HCK|IL1B|LZTFL1|PLSCR1|TYK2	9
cytokine activity	GO:0005125	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|IL10|IL1B|IL2|IL6|IL7|TNF	5
cellular response to lipopolysaccharide	GO:0071222	COVID-19	MESH:D000086382		CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|PLSCR1|TNF	6
nucleus	GO:0005634	COVID-19	MESH:D000086382		ABO|BCL11A|BTK|CRP|HCK|LZTFL1|MUC1|PLSCR1|TYK2	7
positive regulation of transcription by RNA polymerase II	GO:0045944	COVID-19	MESH:D000086382		CCL3|CSF3|CXCL10|IL10|IL1B|IL2|IL6|PLSCR1|TNF	6
integral component of plasma membrane	GO:0005887	COVID-19	MESH:D000086382		ATP11A|BSG|CCR2|IFNAR2|MUC1|PLSCR1|SELE|TMPRSS2|TNF	7
metal ion binding	GO:0046872	COVID-19	MESH:D000086382		ABO|ACE2|ATP11A|BCL11A|BTK|CD209|CRP|F8|SELE	19
cytokine-mediated signaling pathway	GO:0019221	COVID-19	MESH:D000086382		CCL2|CCR2|CSF3|HCK|IL1B|IL6|IL7|TYK2	7
response to lipopolysaccharide	GO:0032496	COVID-19	MESH:D000086382		CCL2|CXCL10|IL10|IL1B|IL6|SELE|TNF	6
identical protein binding	GO:0042802	COVID-19	MESH:D000086382		ACE2|BTK|CCL3|CCR2|CRP|LZTFL1|TNF	21
negative regulation of gene expression	GO:0010629	COVID-19	MESH:D000086382		AGT|BCL11A|CCL3|CXCL8|IL1B|TNF	5
cell-cell signaling	GO:0007267	COVID-19	MESH:D000086382		AGT|CCL3|CXCL10|IL1B|IL2|IL7	3
transferase activity	GO:0016740	COVID-19	MESH:D000086382		ABO|BTK|FUT2|HCK|TYK2|UGCG	6
external side of plasma membrane	GO:0009897	COVID-19	MESH:D000086382		CCR2|CD209|CXCL10|IL2RA|IL6|TNF	7
membrane raft	GO:0045121	COVID-19	MESH:D000086382		ACE2|BSG|BTK|PLSCR1|SELE|TNF	19
cellular response to virus	GO:0098586	COVID-19	MESH:D000086382		CXCL10|IFNAR2|IL10|IL10RB|IL6|TYK2	7
response to hypoxia	GO:0001666	COVID-19	MESH:D000086382		CCL2|CCR2|CRP|IL1B|MUC1|TNF	5
cell surface receptor signaling pathway	GO:0007166	COVID-19	MESH:D000086382		AGT|BSG|CCL2|CXCL10|IFNAR2|IL2RA	6
growth factor activity	GO:0008083	COVID-19	MESH:D000086382		AGT|CSF3|IL10|IL2|IL6|IL7	6
regulation of inflammatory response	GO:0050727	COVID-19	MESH:D000086382		ACE2|AGT|CCR2|HCK|SELE|TNF	20
positive regulation of T cell proliferation	GO:0042102	COVID-19	MESH:D000086382		CD209|IL1B|IL2|IL2RA|IL6|TYK2	7
Golgi apparatus	GO:0005794	COVID-19	MESH:D000086382		ABO|ATP11A|FUT2|HCK|PLSCR1|UGCG	4
response to xenobiotic stimulus	GO:0009410	COVID-19	MESH:D000086382		CCL2|CCL3|IL10|IL1B|IL6|TNF	5
defense response to virus	GO:0051607	COVID-19	MESH:D000086382		CRP|CXCL10|IFNAR2|IL10RB|IL6|PLSCR1	7
response to ethanol	GO:0045471	COVID-19	MESH:D000086382		CCL2|CRP|CSF3|IL1B|IL2|TNF	3
positive regulation of JAK-STAT cascade	GO:0046427	COVID-19	MESH:D000086382		IL10|IL10RB|IL6|TNF|TYK2	7
cell surface	GO:0009986	COVID-19	MESH:D000086382		ACE2|CD209|IL2RA|MUC1|TNF	19
protein kinase activity	GO:0004672	COVID-19	MESH:D000086382		BTK|CCL2|CCL3|HCK|TYK2	4
humoral immune response	GO:0006959	COVID-19	MESH:D000086382		CCL2|CCR2|IL6|IL7|TNF	6
nucleotide binding	GO:0000166	COVID-19	MESH:D000086382		ABO|ATP11A|BTK|HCK|TYK2	5
positive regulation of transcription, DNA-templated	GO:0045893	COVID-19	MESH:D000086382		AGT|IL10|IL1B|IL6|TNF	6
aging	GO:0007568	COVID-19	MESH:D000086382		AGT|CCL2|CRP|IL10|IL6	6
molecular_function	GO:0003674	COVID-19	MESH:D000086382		CRP|IL7|MUC1|SELE|TMEM106B	4
neutrophil chemotaxis	GO:0030593	COVID-19	MESH:D000086382		BSG|CCL2|CCL3|CXCL8|IL1B	4
G protein-coupled receptor signaling pathway	GO:0007186	COVID-19	MESH:D000086382		AGT|CCR2|CXCL10|CXCL8|IL2	4
cell adhesion	GO:0007155	COVID-19	MESH:D000086382		BSG|CCL2|HCK|IL2|SELE	4
perinuclear region of cytoplasm	GO:0048471	COVID-19	MESH:D000086382		BTK|CCL2|CCR2|PLSCR1|SELE	4
lipopolysaccharide-mediated signaling pathway	GO:0031663	COVID-19	MESH:D000086382		CCL2|CCL3|HCK|IL1B|TNF	3
response to glucocorticoid	GO:0051384	COVID-19	MESH:D000086382		CCL2|IL10|IL1B|IL6|TNF	5
regulation of cell proliferation	GO:0042127	COVID-19	MESH:D000086382		ACE2|AGT|CXCL10|IL6|TNF	21
protein phosphorylation	GO:0006468	COVID-19	MESH:D000086382		BTK|CCL2|CCL3|HCK|TYK2	4
chemotaxis	GO:0006935	COVID-19	MESH:D000086382		CCL2|CCL3|CCR2|CXCL10|CXCL8	3
response to bacterium	GO:0009617	COVID-19	MESH:D000086382		CCL2|CXCL10|IL1B|IL6|TNF	5
defense response to Gram-positive bacterium	GO:0050830	COVID-19	MESH:D000086382		CRP|HCK|IL1B|IL6|TNF	6
virus receptor activity	GO:0001618	COVID-19	MESH:D000086382		ACE2|BSG|CD209|PLSCR1	17
positive regulation of chemokine production	GO:0032722	COVID-19	MESH:D000086382		IL1B|IL6|IL7|TNF	5
positive regulation of tumor necrosis factor production	GO:0032760	COVID-19	MESH:D000086382		CCL2|CCL3|CCR2|IL6	6
proteolysis	GO:0006508	COVID-19	MESH:D000086382		ACE2|F8|TMPRSS2|TMPRSS4	17
acute-phase response	GO:0006953	COVID-19	MESH:D000086382		CRP|F8|IL6|PLSCR1	5
cellular response to interleukin-1	GO:0071347	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL6	5
cellular response to tumor necrosis factor	GO:0071356	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL6	5
positive regulation of peptidyl-serine phosphorylation	GO:0033138	COVID-19	MESH:D000086382		AGT|CSF3|IL6|TNF	6
cellular response to organic cyclic compound	GO:0071407	COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|TNF	2
ATP binding	GO:0005524	COVID-19	MESH:D000086382		ATP11A|BTK|HCK|TYK2	4
immune system process	GO:0002376	COVID-19	MESH:D000086382		BTK|HCK|IL2|IL2RA	5
monocyte chemotaxis	GO:0002548	COVID-19	MESH:D000086382		CCL2|CCL3|CCR2|IL6	6
response to activity	GO:0014823	COVID-19	MESH:D000086382		CCL2|IL10|IL6|TNF	5
response to wounding	GO:0009611	COVID-19	MESH:D000086382		CCL2|CCR2|IL6|TMPRSS4	7
carbohydrate binding	GO:0030246	COVID-19	MESH:D000086382		BSG|CD209|IL2|SELE	3
